home_team,away_team,elo_diff,fifa_diff,form_diff,gs_diff,gc_diff,mv_diff,inj_diff,susp_diff,home_adv,h2h_factor,available_squad_diff,availability_pct_diff,starting_xi_value_diff,missing_star_players_diff,match_stage_weight,home_elo_momentum,away_elo_momentum,elo_momentum_diff,home_strength_of_schedule,away_strength_of_schedule,strength_of_schedule_diff,world_cup_matches_played_diff,major_tournament_matches_diff,knockout_matches_diff,home_attack_rating,away_attack_rating,attack_rating_diff,home_defence_rating,away_defence_rating,defence_rating_diff,home_clean_sheet_rate,away_clean_sheet_rate,clean_sheet_rate_diff,home_btts_rate,away_btts_rate,btts_rate_diff,home_injury_count,away_injury_count,home_suspension_count,away_suspension_count,home_injury_market_value_loss,away_injury_market_value_loss,home_group_position,away_group_position,group_position_diff,home_points,away_points,points_diff,goal_difference_diff,home_implied_probability,draw_implied_probability,away_implied_probability,current_minute,time_remaining,current_score_diff,home_red_cards,away_red_cards,red_card_diff,home_avg_rating,away_avg_rating,avg_rating_diff,home_possession,away_possession,possession_diff,home_expected_goals,away_expected_goals,expected_goals_diff,home_attacking_strength,away_attacking_strength,attacking_strength_diff,home_defensive_strength,away_defensive_strength,defensive_strength_diff,home_midfield_control,away_midfield_control,midfield_control_diff,home_goalkeeper_performance,away_goalkeeper_performance,goalkeeper_performance_diff,home_passing_dominance,away_passing_dominance,passing_dominance_diff,home_pressing_intensity,away_pressing_intensity,pressing_intensity_diff,home_set_piece_threat,away_set_piece_threat,set_piece_threat_diff,home_discipline_score,away_discipline_score,discipline_score_diff,home_fatigue_score,away_fatigue_score,fatigue_score_diff,home_substitution_impact,away_substitution_impact,substitution_impact_diff,home_player_availability_score,away_player_availability_score,availability_score_diff,home_injury_impact,away_injury_impact,injury_impact_diff,home_suspension_impact,away_suspension_impact,suspension_impact_diff,home_formation_stability,away_formation_stability,formation_stability_diff,home_momentum_score,away_momentum_score,momentum_score_diff,home_goalkeeper_strength,away_goalkeeper_strength,goalkeeper_strength_diff,home_passing_strength,away_passing_strength,passing_strength_diff,home_recent_form,away_recent_form,recent_form_diff,home_aerial_dominance,away_aerial_dominance,aerial_dominance_diff,home_pressing_strength,away_pressing_strength,pressing_strength_diff,home_defensive_stability,away_defensive_stability,defensive_stability_diff,home_attacking_efficiency,away_attacking_efficiency,attacking_efficiency_diff,home_finishing_quality,away_finishing_quality,finishing_quality_diff,home_set_piece_strength,away_set_piece_strength,set_piece_strength_diff,home_squad_availability,away_squad_availability,squad_availability_diff,home_tactical_stability,away_tactical_stability,tactical_stability_diff,confidence_score,home_kaggle_attack_rating,home_kaggle_defense_rating,home_kaggle_discipline_score,home_kaggle_suspension_risk,home_kaggle_starting_xi_strength,home_kaggle_bench_strength,away_kaggle_attack_rating,away_kaggle_defense_rating,away_kaggle_discipline_score,away_kaggle_suspension_risk,away_kaggle_starting_xi_strength,away_kaggle_bench_strength,kaggle_attack_rating_diff,kaggle_defense_rating_diff,kaggle_discipline_score_diff,kaggle_suspension_risk_diff,kaggle_starting_xi_strength_diff,kaggle_bench_strength_diff,referee_strictness,home_score,away_score
Brazil,France,-103,-3,0.0,0.0,0.0,-16.1400000000001,-49.82,0.0,0,0.5,-65.96000000000004,-0.04353886463396994,55.0,0,3,0.0,0.0,0.0,1500.0,1500.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,1,100.0,50.18,1,1,0,7,9,-2,-2,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,59.1,40.9,18.200000000000003,4.815,1.471,3.3440000000000003,0.0,0.0,0.0,0.5,0.5,0.0,0.673,0.542,0.131,0.0,0.0,0.0,0.654,0.562,0.09199999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.826,0.87,-0.04400000000000004,0.0,0.0,0.0,0.0,0.043,-0.043,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.813,0.857,-0.04400000000000004,0.5,0.5,0.0,0.508,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.7,0.512,0.9967,0.0115,1.0,1.0,-0.015599999999999947,-0.19030000000000002,-0.02210000000000001,0.1116,0.0,0.0,0.5,5,2
Brazil,Sweden,299,33,2.0,5.0,2.0,923.2599999999999,-100.0,0,0,0.5,823.2599999999999,-0.08620095165850628,693.2,0,4,12.880677076445854,0.0,12.880677076445854,2141.0,1500.0,641.0,1,1,0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4,2,0,0,100.0,0.0,1,3,2,7,4,3,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,60.7,39.3,21.400000000000006,3.341,0.784,2.5570000000000004,2.0,0.0,2.0,0.233,0.5,-0.267,0.682,0.55,0.132,0.0,0.0,0.0,0.643,0.561,0.08199999999999996,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.357,1.0,-0.643,0.0,0.0,0.0,0.826,0.913,-0.08700000000000008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.317,0.0,0.317,0.669,0.0,0.669,1.0,0.5,0.5,0.216,0.0,0.216,0.95,0.0,0.95,0.207,0.5,-0.29300000000000004,0.854,0.0,0.854,0.719,0.5,0.21899999999999997,0.0,0.0,0.0,0.813,0.957,-0.14400000000000002,0.775,0.5,0.275,0.673,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.5369,0.5667,0.9844,0.0577,0.7194,0.9304,0.14749999999999996,-0.245,-0.009800000000000031,0.0654,0.28059999999999996,0.0696,0.5,5,2
Brazil,Mexico,69,3,2.0000000000000004,5.000000000000001,2.0,950.0899999999999,-86.03,0,0,0.5,864.06,-0.019673974183388454,720.12,0,0,15.91505570219162,0.0,15.91505570219162,1940.0,1500.0,440.0,2,2,0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4,2,0,0,100.0,13.97,1,1,0,7,9,-2,0,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.7,46.3,7.400000000000006,2.36,0.896,1.464,2.0,0.0,2.0,0.233,0.5,-0.267,0.701,0.614,0.08699999999999997,0.0,0.0,0.0,0.672,0.602,0.07000000000000006,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.826,0.913,-0.08700000000000008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.317,0.0,0.317,0.676,0.0,0.676,1.0,0.5,0.5,0.186,0.0,0.186,0.919,0.0,0.919,0.248,0.5,-0.252,0.881,0.0,0.881,0.814,0.5,0.31399999999999995,0.0,0.0,0.0,0.813,0.915,-0.10200000000000009,0.925,0.5,0.42500000000000004,0.687,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.4964,0.3552,0.9812,0.0231,0.2426,0.8192,0.188,-0.03350000000000003,-0.006599999999999939,0.1,0.7574,0.18079999999999996,0.5,2,0
Brazil,Czechoslovakia,572,183,2.0,3.7947212643999335,1.1964808429332892,1078.86,-94.12,0,0,0.5,984.7399999999999,-0.013804990072689982,823.1,0,0,23.954780386804742,0.0,23.954780386804742,1949.6666666666667,1500.0,449.66666666666674,3,3,0,3.846830755217312,0.0,3.846830755217312,1.2312205034782078,0.0,1.2312205034782078,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,4,3,0,0,100.0,5.880000000000001,1,0,-1,7,0,7,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,46.1,53.9,-7.799999999999997,3.813,2.418,1.395,2.0,0.0,2.0,0.489,0.5,-0.01100000000000001,0.689,0.679,0.009999999999999898,0.0,0.0,0.0,0.682,0.65,0.03200000000000003,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.826,0.87,-0.04400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.428,0.0,0.428,0.685,0.0,0.685,1.0,0.5,0.5,0.168,0.0,0.168,0.887,0.0,0.887,0.43,0.5,-0.07,0.85,0.0,0.85,0.764,0.5,0.264,0.0,0.0,0.0,0.813,0.902,-0.08900000000000008,0.893,0.5,0.393,0.699,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.1844,-0.17830000000000001,-0.025399999999999978,0.1231,0.5,0.5,0.5,4,1
Brazil,England,-18,-1,2.0,3.8622946782652114,1.1318035090763794,-232.5,-27.64,0,0,0.5,-260.1400000000001,-0.03423984349954956,-205.0,0,0,24.67123213843133,0.0,24.67123213843133,1828.75,1500.0,328.75,4,4,0,3.894117555502952,0.0,3.894117555502952,1.159837519345646,0.0,1.159837519345646,0.25,0.0,0.25,0.75,0.0,0.75,4,3,0,0,100.0,72.36,1,1,0,7,7,0,2,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.3,46.7,6.599999999999994,0.867,1.538,-0.671,2.0,0.0,2.0,0.483,0.5,-0.017000000000000015,0.724,0.679,0.04499999999999993,0.0,0.0,0.0,0.685,0.658,0.027000000000000024,0.867,0.967,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0,0.0,0.286,1.0,-0.714,0.0,0.0,0.0,0.826,0.87,-0.04400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.417,0.0,0.417,0.687,0.0,0.687,1.0,0.5,0.5,0.144,0.0,0.144,0.894,0.0,0.894,0.366,0.5,-0.134,0.852,0.0,0.852,0.752,0.5,0.252,0.0,0.0,0.0,0.813,0.862,-0.049000000000000044,0.786,0.5,0.28600000000000003,0.679,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.7047,0.4644,0.9905,0.0346,1.0,1.0,-0.020299999999999985,-0.1427,-0.015900000000000025,0.0885,0.0,0.0,0.5,1,0
Brazil,Romania,427,76,2.0,3.0414923905504154,0.8072433173715308,1020.7599999999999,-98.51,0,0,0.5,922.2499999999999,-0.07550614832804392,771.84,0,0,35.18885075625471,0.0,35.18885075625471,1874.2,1500.0,374.20000000000005,5,5,0,3.130088108802809,0.0,3.130088108802809,0.8536474627314045,0.0,0.8536474627314045,0.4,0.0,0.4,0.6,0.0,0.6,4,1,0,0,100.0,1.49,1,0,-1,7,0,7,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,47.4,52.6,-5.200000000000003,2.219,1.167,1.0519999999999998,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.71,0.638,0.07199999999999995,0.0,0.0,0.0,0.715,0.625,0.08999999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.143,1.0,-0.857,0.0,0.0,0.0,0.826,0.957,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.695,0.0,0.695,1.0,0.5,0.5,0.146,0.0,0.146,0.888,0.0,0.888,0.436,0.5,-0.064,0.84,0.0,0.84,0.746,0.5,0.246,0.0,0.0,0.0,0.813,0.977,-0.16400000000000003,0.711,0.5,0.21099999999999997,0.671,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.1844,-0.17830000000000001,-0.025399999999999978,0.1231,0.5,0.5,0.5,3,2
Brazil,Peru,371,58,2.0,2.8229821374016297,1.023453422992798,964.3599999999999,-98.64,0,0,0.5,865.7199999999999,-0.07925224943083398,721.62,0,2,36.76594661845645,0.0,36.76594661845645,1768.2,1500.0,268.20000000000005,6,6,0,3.099553377615557,0.0,3.099553377615557,1.1227232982820665,0.0,1.1227232982820665,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,4,1,0,0,100.0,1.36,1,0,-1,7,0,7,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.7,46.3,7.400000000000006,3.656,0.922,2.734,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.728,0.686,0.041999999999999926,0.0,0.0,0.0,0.686,0.664,0.02200000000000002,0.933,0.867,0.06600000000000006,0.0,0.0,0.0,1.0,1.0,0.0,0.357,1.0,-0.643,0.0,0.0,0.0,0.826,0.957,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.703,0.0,0.703,0.972,0.5,0.472,0.115,0.0,0.115,0.854,0.0,0.854,0.443,0.5,-0.056999999999999995,0.835,0.0,0.835,0.771,0.5,0.271,0.0,0.0,0.0,0.813,0.977,-0.16400000000000003,0.711,0.5,0.21099999999999997,0.674,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.1844,-0.17830000000000001,-0.025399999999999978,0.1231,0.5,0.5,0.5,4,2
Brazil,Uruguay,208,25,2.0,2.9308447995882414,1.200471285591168,990.0999999999999,-100.0,0,0,0.5,890.0999999999999,-0.08620095165850628,742.54,0,3,38.879547221433896,0.0,38.879547221433896,1753.8,1500.0,253.79999999999995,7,7,0,3.2924964872664475,0.0,3.2924964872664475,1.3107016755072605,0.0,1.3107016755072605,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,4,2,0,0,100.0,0.0,1,3,2,7,2,5,7,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.3,46.7,6.599999999999994,1.417,0.842,0.5750000000000001,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.719,0.589,0.13,0.0,0.0,0.0,0.718,0.594,0.124,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.214,1.0,-0.786,0.0,0.0,0.0,0.826,0.913,-0.08700000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.713,0.0,0.713,0.962,0.5,0.46199999999999997,0.089,0.0,0.089,0.834,0.0,0.834,0.44,0.5,-0.06,0.808,0.0,0.808,0.724,0.5,0.22399999999999998,0.0,0.0,0.0,0.813,0.957,-0.14400000000000002,0.697,0.5,0.19699999999999995,0.679,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.7259,0.3833,0.9778,0.0577,0.4614,0.8405,-0.04149999999999998,-0.06159999999999999,-0.0031999999999999806,0.0654,0.5386,0.15949999999999998,0.5,3,1
Brazil,Italy,195,18,2.0,3.04887499006798,1.269626486002927,650.0999999999998,-97.0,0,0,0.5,553.0999999999998,-0.0803183680277757,448.28,0,4,43.51850715808222,0.0,43.51850715808222,1726.0,1500.0,226.0,8,8,0,3.234193553469358,0.0,3.234193553469358,1.2487699258748521,0.0,1.2487699258748521,0.25,0.0,0.25,0.75,0.0,0.75,4,1,0,0,100.0,3.0,1,0,-1,7,0,7,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,61.0,39.0,22.0,2.768,1.635,1.1329999999999998,1.858,0.0,1.858,0.48,0.5,-0.020000000000000018,0.726,0.559,0.16699999999999993,0.0,0.0,0.0,0.726,0.591,0.135,0.733,0.6,0.133,0.0,0.0,0.0,1.0,1.0,0.0,0.286,1.0,-0.714,0.0,0.0,0.0,0.826,0.957,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.41,0.0,0.41,0.715,0.0,0.715,0.947,0.5,0.44699999999999995,0.065,0.0,0.065,0.82,0.0,0.82,0.355,0.5,-0.14500000000000002,0.829,0.0,0.829,0.802,0.5,0.30200000000000005,0.0,0.0,0.0,0.813,0.975,-0.16200000000000003,0.786,0.5,0.28600000000000003,0.676,0.6844,0.3217,0.9746,0.1231,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.1844,-0.17830000000000001,-0.025399999999999978,0.1231,0.5,0.5,0.5,4,1
Netherlands,Sweden,219,28,1.0,-2.0,-5.0,403.1600000000002,0.0,0,0,0.5,403.1600000000002,0.0,347.29,0,0,0.0,-3.0343786257457657,3.0343786257457657,1500.0,2038.0,-538.0,-1,-1,0,0.0,2.0,-2.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,1.0,-1.0,1,2,0,0,0.0,0.0,1,3,2,7,4,3,6,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,63.2,36.8,26.400000000000006,2.573,0.686,1.887,0.0,0.692,-0.692,0.5,0.0,0.5,0.697,0.487,0.20999999999999996,0.0,0.0,0.0,0.692,0.52,0.17199999999999993,0.933,1.0,-0.06699999999999995,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.957,0.913,0.04399999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.5,0.0,0.5,0.0,0.25,-0.25,0.0,0.55,-0.55,0.5,0.0,0.5,0.0,0.192,-0.192,0.0,0.85,-0.85,0.5,0.0,0.5,0.0,0.694,-0.694,0.5,1.0,-0.5,0.0,0.0,0.0,0.978,0.957,0.02100000000000002,0.5,0.775,-0.275,0.521,0.5837,0.4972,0.9877,0.0462,1.0,1.0,0.5369,0.5667,0.9844,0.0577,0.7194,0.9304,0.04679999999999995,-0.0695,0.0032999999999999696,-0.011500000000000003,0.28059999999999996,0.0696,0.5,0,0
