match_id,utc_date,competition_code,competition_name,home_team,away_team,target,home_score,away_score,elo_diff,fifa_diff,form_diff,gs_diff,gc_diff,mv_diff,inj_diff,susp_diff,home_adv,h2h_factor,available_squad_diff,availability_pct_diff,starting_xi_value_diff,missing_star_players_diff,match_stage_weight,home_elo_momentum,away_elo_momentum,elo_momentum_diff,home_strength_of_schedule,away_strength_of_schedule,strength_of_schedule_diff,world_cup_matches_played_diff,major_tournament_matches_diff,knockout_matches_diff,home_attack_rating,away_attack_rating,attack_rating_diff,home_defence_rating,away_defence_rating,defence_rating_diff,home_clean_sheet_rate,away_clean_sheet_rate,clean_sheet_rate_diff,home_btts_rate,away_btts_rate,btts_rate_diff,home_injury_count,away_injury_count,home_suspension_count,away_suspension_count,home_injury_market_value_loss,away_injury_market_value_loss,home_group_position,away_group_position,group_position_diff,home_points,away_points,points_diff,goal_difference_diff,home_implied_probability,draw_implied_probability,away_implied_probability,current_minute,time_remaining,current_score_diff,home_red_cards,away_red_cards,red_card_diff,home_avg_rating,away_avg_rating,avg_rating_diff,home_possession,away_possession,possession_diff,home_expected_goals,away_expected_goals,expected_goals_diff,home_attacking_strength,away_attacking_strength,attacking_strength_diff,home_defensive_strength,away_defensive_strength,defensive_strength_diff,home_midfield_control,away_midfield_control,midfield_control_diff,home_goalkeeper_performance,away_goalkeeper_performance,goalkeeper_performance_diff,home_passing_dominance,away_passing_dominance,passing_dominance_diff,home_pressing_intensity,away_pressing_intensity,pressing_intensity_diff,home_set_piece_threat,away_set_piece_threat,set_piece_threat_diff,home_discipline_score,away_discipline_score,discipline_score_diff,home_fatigue_score,away_fatigue_score,fatigue_score_diff,home_substitution_impact,away_substitution_impact,substitution_impact_diff,home_player_availability_score,away_player_availability_score,availability_score_diff,home_injury_impact,away_injury_impact,injury_impact_diff,home_suspension_impact,away_suspension_impact,suspension_impact_diff,home_formation_stability,away_formation_stability,formation_stability_diff,home_momentum_score,away_momentum_score,momentum_score_diff,home_goalkeeper_strength,away_goalkeeper_strength,goalkeeper_strength_diff,home_passing_strength,away_passing_strength,passing_strength_diff,home_recent_form,away_recent_form,recent_form_diff,home_aerial_dominance,away_aerial_dominance,aerial_dominance_diff,home_pressing_strength,away_pressing_strength,pressing_strength_diff,home_defensive_stability,away_defensive_stability,defensive_stability_diff,home_attacking_efficiency,away_attacking_efficiency,attacking_efficiency_diff,home_finishing_quality,away_finishing_quality,finishing_quality_diff,home_set_piece_strength,away_set_piece_strength,set_piece_strength_diff,home_squad_availability,away_squad_availability,squad_availability_diff,home_tactical_stability,away_tactical_stability,tactical_stability_diff,confidence_score
20894,1958-06-24T00:00:00,WC,FIFA World Cup,Brazil,France,2,5,2,-82,-3,0.0,0.0,0.0,-18.3599999999999,-50.0,0.0,0,0.5,-68.3599999999999,-0.04310047582925314,55.0,0,3,0.0,0.0,0.0,1500.0,1500.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,50.0,0.0,1,2,1,4,3,1,1,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,59.1,40.9,18.200000000000003,4.815,1.471,3.3440000000000003,0.0,0.0,0.0,0.5,0.5,0.0,0.673,0.542,0.131,0.0,0.0,0.0,0.654,0.562,0.09199999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.957,0.957,0.0,0.0,0.0,0.0,0.0,0.043,-0.043,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.928,0.951,-0.02299999999999991,0.5,0.5,0.0,0.51
20893,1958-06-29T00:00:00,WC,FIFA World Cup,Brazil,Sweden,2,5,2,268,36,2.0,5.0,2.0,897.27,-50.0,0.0,0,0.5,847.27,-0.04310047582925314,725.2,0,4,12.31728208507512,0.0,12.31728208507512,2081.0,1500.0,581.0,1,1,0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,50.0,0.0,1,2,1,4,3,1,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,60.7,39.3,21.400000000000006,3.341,0.784,2.5570000000000004,2.0,0.0,2.0,0.233,0.5,-0.267,0.682,0.55,0.132,0.0,0.0,0.0,0.643,0.561,0.08199999999999996,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.357,1.0,-0.643,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.317,0.0,0.317,0.669,0.0,0.669,1.0,0.5,0.5,0.216,0.0,0.216,0.95,0.0,0.95,0.207,0.5,-0.29300000000000004,0.854,0.0,0.854,0.719,0.5,0.21899999999999997,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.775,0.5,0.275,0.676
20892,1962-05-30T00:00:00,WC,FIFA World Cup,Brazil,Mexico,2,2,0,93,9,2.0,5.0,2.0,950.0899999999999,-50.0,0.0,0,0.5,900.0899999999999,-0.04310047582925314,714.76,0,0,15.840051514963672,0.0,15.840051514963672,1906.0,1500.0,406.0,2,2,0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,50.0,0.0,1,1,0,4,6,-2,0,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.7,46.3,7.400000000000006,2.36,0.896,1.464,2.0,0.0,2.0,0.233,0.5,-0.267,0.701,0.614,0.08699999999999997,0.0,0.0,0.0,0.672,0.602,0.07000000000000006,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.317,0.0,0.317,0.676,0.0,0.676,1.0,0.5,0.5,0.186,0.0,0.186,0.919,0.0,0.919,0.248,0.5,-0.252,0.881,0.0,0.881,0.814,0.5,0.31399999999999995,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.925,0.5,0.42500000000000004,0.689
20891,1970-06-03T00:00:00,WC,FIFA World Cup,Brazil,Czechoslovakia,2,4,1,499,145,2.0,4.0,1.3333333333333333,1160.08,-50.0,0.0,0,0.5,1110.08,0.9568995241707469,890.0,0,0,23.22544574263963,0.0,23.22544574263963,1906.0,1500.0,406.0,3,3,0,4.0,0.0,4.0,1.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1,0,0,0,50.0,0.0,1,0,-1,4,0,4,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,46.1,53.9,-7.799999999999997,3.813,2.418,1.395,2.0,0.0,2.0,0.489,0.5,-0.01100000000000001,0.689,0.679,0.009999999999999898,0.0,0.0,0.0,0.682,0.65,0.03200000000000003,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.428,0.0,0.428,0.685,0.0,0.685,1.0,0.5,0.5,0.168,0.0,0.168,0.887,0.0,0.887,0.43,0.5,-0.07,0.85,0.0,0.85,0.764,0.5,0.264,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.893,0.5,0.393,0.699
20886,1970-06-07T00:00:00,WC,FIFA World Cup,Brazil,England,2,1,0,-46,-1,2.0,4.0,1.25,-232.30000000000018,-50.0,0.0,0,0.5,-282.3000000000002,-0.04310047582925314,-205.0,0,0,24.296068163450368,0.0,24.296068163450368,1804.5,1500.0,304.5,4,4,0,4.0,0.0,4.0,1.25,0.0,1.25,0.25,0.0,0.25,0.75,0.0,0.75,1,0,0,0,50.0,0.0,1,1,0,4,3,1,1,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.3,46.7,6.599999999999994,0.867,1.538,-0.671,2.0,0.0,2.0,0.483,0.5,-0.017000000000000015,0.724,0.679,0.04499999999999993,0.0,0.0,0.0,0.685,0.658,0.027000000000000024,0.867,0.967,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0,0.0,0.286,1.0,-0.714,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.417,0.0,0.417,0.687,0.0,0.687,1.0,0.5,0.5,0.144,0.0,0.144,0.894,0.0,0.894,0.366,0.5,-0.134,0.852,0.0,0.852,0.752,0.5,0.252,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.786,0.5,0.28600000000000003,0.679
20888,1970-06-09T00:00:00,WC,FIFA World Cup,Brazil,Romania,2,3,2,390,77,2.0,3.4,1.0,1019.9399999999999,-50.0,0.0,0,0.5,969.9399999999999,-0.04310047582925314,762.1,0,0,35.61237222483503,0.0,35.61237222483503,1852.6,1500.0,352.5999999999999,5,5,0,3.4,0.0,3.4,1.0,0.0,1.0,0.4,0.0,0.4,0.6,0.0,0.6,1,0,0,0,50.0,0.0,1,0,-1,4,0,4,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,47.4,52.6,-5.200000000000003,2.219,1.167,1.0519999999999998,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.71,0.638,0.07199999999999995,0.0,0.0,0.0,0.715,0.625,0.08999999999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.143,1.0,-0.857,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.695,0.0,0.695,1.0,0.5,0.5,0.146,0.0,0.146,0.888,0.0,0.888,0.436,0.5,-0.064,0.84,0.0,0.84,0.746,0.5,0.246,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.711,0.5,0.21099999999999997,0.675
20887,1970-06-14T00:00:00,WC,FIFA World Cup,Brazil,Peru,2,4,2,316,55,2.0,3.0,1.0,1021.06,-50.0,0.0,0,0.5,971.06,-0.04310047582925314,685.55,0,2,37.527969337442755,0.0,37.527969337442755,1758.2,1500.0,258.20000000000005,6,6,0,3.235294117647059,0.0,3.235294117647059,1.1176470588235294,0.0,1.1176470588235294,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1,0,0,0,50.0,0.0,1,0,-1,4,0,4,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.7,46.3,7.400000000000006,3.656,0.922,2.734,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.728,0.686,0.041999999999999926,0.0,0.0,0.0,0.686,0.664,0.02200000000000002,0.933,0.867,0.06600000000000006,0.0,0.0,0.0,1.0,1.0,0.0,0.357,1.0,-0.643,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.703,0.0,0.703,0.972,0.5,0.472,0.115,0.0,0.115,0.854,0.0,0.854,0.443,0.5,-0.056999999999999995,0.835,0.0,0.835,0.771,0.5,0.271,0.0,0.0,0.0,0.928,1.0,-0.07199999999999995,0.711,0.5,0.21099999999999997,0.678
20890,1970-06-17T00:00:00,WC,FIFA World Cup,Brazil,Uruguay,2,3,1,160,20,2.0,2.8,1.0,990.0999999999999,-50.0,0.0,0,0.5,940.0999999999999,-0.04310047582925314,748.08,0,3,40.31894610228851,0.0,40.31894610228851,1748.6,1500.0,248.5999999999999,7,7,0,3.263157894736842,0.0,3.263157894736842,1.2105263157894737,0.0,1.2105263157894737,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,1,2,0,0,50.0,0.0,1,1,0,4,1,3,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,53.3,46.7,6.599999999999994,1.417,0.842,0.5750000000000001,1.887,0.0,1.887,0.587,0.5,0.08699999999999997,0.719,0.589,0.13,0.0,0.0,0.0,0.718,0.594,0.124,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.214,1.0,-0.786,0.0,0.0,0.0,0.957,0.913,0.04399999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.463,0.0,0.463,0.713,0.0,0.713,0.962,0.5,0.46199999999999997,0.089,0.0,0.089,0.834,0.0,0.834,0.44,0.5,-0.06,0.808,0.0,0.808,0.724,0.5,0.22399999999999998,0.0,0.0,0.0,0.928,0.957,-0.028999999999999915,0.697,0.5,0.19699999999999995,0.686
20889,1970-06-21T00:00:00,WC,FIFA World Cup,Brazil,Italy,2,4,1,148,17,2.0,3.0,1.2,650.0900000000001,-47.0,0.0,0,0.5,603.0900000000001,-0.03721800754556126,455.5,0,4,46.013891081304536,0.0,46.013891081304536,1735.2,1500.0,235.20000000000005,8,8,0,3.2857142857142856,0.0,3.2857142857142856,1.2380952380952381,0.0,1.2380952380952381,0.25,0.0,0.25,0.75,0.0,0.75,1,1,0,0,50.0,3.0,1,0,-1,4,0,4,3,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,61.0,39.0,22.0,2.768,1.635,1.1329999999999998,1.858,0.0,1.858,0.48,0.5,-0.020000000000000018,0.726,0.559,0.16699999999999993,0.0,0.0,0.0,0.726,0.591,0.135,0.733,0.6,0.133,0.0,0.0,0.0,1.0,1.0,0.0,0.286,1.0,-0.714,0.0,0.0,0.0,0.957,0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.30000000000000004,1.0,0.5,0.5,0.41,0.0,0.41,0.715,0.0,0.715,0.947,0.5,0.44699999999999995,0.065,0.0,0.065,0.82,0.0,0.82,0.355,0.5,-0.14500000000000002,0.829,0.0,0.829,0.802,0.5,0.30200000000000005,0.0,0.0,0.0,0.928,0.975,-0.04699999999999993,0.786,0.5,0.28600000000000003,0.683
20884,1974-06-19T00:00:00,WC,FIFA World Cup,Netherlands,Sweden,1,0,0,243,33,1.0,-2.0,-5.0,377.18000000000006,0.0,0.0,0,0.5,377.18000000000006,0.0,382.12999999999994,0,0,0.0,-3.522769429888552,3.522769429888552,1500.0,1999.0,-499.0,-1,-1,0,0.0,2.0,-2.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,1.0,-1.0,1,0,0,0,0.0,0.0,1,2,1,4,3,1,4,0.333,0.333,0.333,0,90,0,0,0,0,0.0,0.0,0.0,63.2,36.8,26.400000000000006,2.573,0.686,1.887,0.0,0.692,-0.692,0.5,0.0,0.5,0.697,0.487,0.20999999999999996,0.0,0.0,0.0,0.692,0.52,0.17199999999999993,0.933,1.0,-0.06699999999999995,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.957,1.0,-0.04300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,0.5,0.0,0.5,0.0,0.25,-0.25,0.0,0.55,-0.55,0.5,0.0,0.5,0.0,0.192,-0.192,0.0,0.85,-0.85,0.5,0.0,0.5,0.0,0.694,-0.694,0.5,1.0,-0.5,0.0,0.0,0.0,0.978,1.0,-0.02200000000000002,0.5,0.775,-0.275,0.516
