home_team,away_team,aerial_dominance_diff,attack_rating_diff,attacking_efficiency_diff,attacking_strength_diff,availability_pct_diff,availability_score_diff,available_squad_diff,avg_rating_diff,away_aerial_dominance,away_attack_rating,away_attacking_efficiency,away_attacking_strength,away_avg_rating,away_btts_rate,away_clean_sheet_rate,away_defence_rating,away_defensive_stability,away_defensive_strength,away_discipline_score,away_elo_momentum,away_expected_goals,away_fatigue_score,away_finishing_quality,away_formation_stability,away_goalkeeper_performance,away_goalkeeper_strength,away_group_position,away_implied_probability,away_injury_count,away_injury_impact,away_injury_market_value_loss,away_kaggle_attack_rating,away_kaggle_bench_strength,away_kaggle_defense_rating,away_kaggle_discipline_score,away_kaggle_starting_xi_strength,away_kaggle_suspension_risk,away_midfield_control,away_momentum_score,away_passing_dominance,away_passing_strength,away_player_availability_score,away_points,away_possession,away_pressing_intensity,away_pressing_strength,away_recent_form,away_red_cards,away_set_piece_strength,away_set_piece_threat,away_squad_availability,away_strength_of_schedule,away_substitution_impact,away_suspension_count,away_suspension_impact,away_tactical_stability,btts_rate_diff,clean_sheet_rate_diff,confidence_score,current_minute,current_score_diff,defence_rating_diff,defensive_stability_diff,defensive_strength_diff,discipline_score_diff,draw_implied_probability,elo_diff,elo_momentum_diff,expected_goals_diff,fatigue_score_diff,fifa_diff,finishing_quality_diff,form_diff,formation_stability_diff,gc_diff,goal_difference_diff,goalkeeper_performance_diff,goalkeeper_strength_diff,group_position_diff,gs_diff,h2h_factor,home_adv,home_aerial_dominance,home_attack_rating,home_attacking_efficiency,home_attacking_strength,home_avg_rating,home_btts_rate,home_clean_sheet_rate,home_defence_rating,home_defensive_stability,home_defensive_strength,home_discipline_score,home_elo_momentum,home_expected_goals,home_fatigue_score,home_finishing_quality,home_formation_stability,home_goalkeeper_performance,home_goalkeeper_strength,home_group_position,home_implied_probability,home_injury_count,home_injury_impact,home_injury_market_value_loss,home_kaggle_attack_rating,home_kaggle_bench_strength,home_kaggle_defense_rating,home_kaggle_discipline_score,home_kaggle_starting_xi_strength,home_kaggle_suspension_risk,home_midfield_control,home_momentum_score,home_passing_dominance,home_passing_strength,home_player_availability_score,home_points,home_possession,home_pressing_intensity,home_pressing_strength,home_recent_form,home_red_cards,home_set_piece_strength,home_set_piece_threat,home_squad_availability,home_strength_of_schedule,home_substitution_impact,home_suspension_count,home_suspension_impact,home_tactical_stability,inj_diff,injury_impact_diff,kaggle_attack_rating_diff,kaggle_bench_strength_diff,kaggle_defense_rating_diff,kaggle_discipline_score_diff,kaggle_starting_xi_strength_diff,kaggle_suspension_risk_diff,knockout_matches_diff,major_tournament_matches_diff,match_stage_weight,midfield_control_diff,missing_star_players_diff,momentum_score_diff,mv_diff,passing_dominance_diff,passing_strength_diff,points_diff,possession_diff,pressing_intensity_diff,pressing_strength_diff,recent_form_diff,red_card_diff,referee_strictness,set_piece_strength_diff,set_piece_threat_diff,squad_availability_diff,starting_xi_value_diff,strength_of_schedule_diff,substitution_impact_diff,susp_diff,suspension_impact_diff,tactical_stability_diff,time_remaining,world_cup_matches_played_diff,target
Brazil,France,0.0,0.0,0.0,0.0,-0.08620095165850628,-0.131,-116.1400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.471,1.0,0.5,0.5,0.0,0.0,1,0.333,0,0.0,0,0.7,1.0,0.512,0.9967,1.0,0.0115,0.542,0.5,0.562,0.0,0.957,9,40.9,1.0,0.0,0.5,0,0.0,0.0,0.951,1500.0,0.0,1,0.043,0.5,0.0,0.0,0.504,0,0,0.0,0.0,0.0,0.0,0.333,-103,0.0,3.3440000000000003,0.0,-3,0.0,0.0,0.0,0.0,-2,0.0,0.0,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,4.815,1.0,0.5,0.5,0.0,0.0,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.673,0.5,0.654,0.0,0.826,7,59.1,1.0,0.0,0.5,0,0.0,0.0,0.813,1500.0,0.0,0,0.0,0.5,-100.0,0.0,-0.015599999999999947,0.0,-0.19030000000000002,-0.02210000000000001,0.0,0.1116,0,0,3,0.131,0,0.0,-16.1400000000001,0.09199999999999997,0.0,-2,18.200000000000003,0.0,0.0,0.0,0,0.5,0.0,0.0,-0.138,55.0,0.0,0.0,0.0,-0.043,0.0,90,0,2
Brazil,Sweden,0.216,5.0,0.854,2.0,-0.08620095165850628,-0.08700000000000008,823.2599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.784,1.0,0.5,0.5,0.0,0.0,3,0.333,2,0.0,0.0,0.5369,0.9304,0.5667,0.9844,0.7194,0.0577,0.55,0.5,0.561,0.0,0.913,4,39.3,1.0,0.0,0.5,0,0.0,0.0,0.957,1500.0,0.0,0,0.0,0.5,1.0,0.0,0.673,0,0,2.0,-0.29300000000000004,-0.267,0.0,0.333,299,12.880677076445854,2.5570000000000004,-0.643,33,0.21899999999999997,2.0,0.5,2.0,6,0.0,0.317,2,5.0,0.5,0,0.216,5.0,0.854,2.0,0.0,1.0,0.0,2.0,0.207,0.233,1.0,12.880677076445854,3.341,0.357,0.719,1.0,0.0,0.317,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.682,1.0,0.643,0.669,0.826,7,60.7,1.0,0.95,1.0,0,0.0,0.0,0.813,2141.0,0.0,0,0.0,0.775,-100.0,0.0,0.14749999999999996,0.0696,-0.245,-0.009800000000000031,0.28059999999999996,0.0654,0,1,4,0.132,0,0.5,923.2599999999999,0.08199999999999996,0.669,3,21.400000000000006,0.0,0.95,0.5,0,0.5,0.0,0.0,-0.14400000000000002,693.2,641.0,0.0,0,0.0,0.275,90,1,2
Brazil,Mexico,0.186,5.0,0.881,2.0,-0.06405704004366741,-0.04400000000000004,854.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.896,1.0,0.5,0.5,0.0,0.0,1,0.333,3,0.0,4.65,0.4964,0.8192,0.3552,0.9812,0.2426,0.0231,0.614,0.5,0.602,0.0,0.87,9,46.3,1.0,0.0,0.5,0,0.0,0.0,0.93,1500.0,0.0,0,0.0,0.5,1.0,0.0,0.689,0,0,2.0,-0.252,-0.267,0.0,0.333,69,15.91505570219162,1.464,0.0,3,0.31399999999999995,2.0000000000000004,0.5,2.0,0,0.0,0.317,0,5.000000000000001,0.5,0,0.186,5.0,0.881,2.0,0.0,1.0,0.0,2.0,0.248,0.233,1.0,15.91505570219162,2.36,1.0,0.814,1.0,0.0,0.317,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.701,1.0,0.672,0.676,0.826,7,53.7,1.0,0.919,1.0,0,0.0,0.0,0.813,1940.0,0.0,0,0.0,0.925,-95.35,0.0,0.188,0.18079999999999996,-0.03350000000000003,-0.006599999999999939,0.7574,0.1,0,2,0,0.08699999999999997,0,0.5,950.0899999999999,0.07000000000000006,0.676,-2,7.400000000000006,0.0,0.919,0.5,0,0.5,0.0,0.0,-0.1170000000000001,711.45,440.0,0.0,0,0.0,0.42500000000000004,90,2,2
Brazil,England,0.144,3.894117555502952,0.852,2.0,0.09044958188355234,-0.04400000000000004,-86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.538,1.0,0.5,0.5,0.0,0.0,1,0.333,3,0.0,246.0,0.7047,1.0,0.4644,0.9905,1.0,0.0346,0.679,0.5,0.658,0.0,0.87,7,46.7,0.967,0.0,0.5,0,0.0,0.0,0.78,1500.0,0.0,0,0.0,0.5,0.75,0.25,0.679,0,0,1.159837519345646,-0.134,-0.017000000000000015,0.0,0.333,-18,24.67123213843133,-0.671,-0.714,-1,0.252,2.0,0.5,1.1318035090763794,2,0.0,0.417,0,3.8622946782652114,0.5,0,0.144,3.894117555502952,0.852,2.0,0.0,0.75,0.25,1.159837519345646,0.366,0.483,1.0,24.67123213843133,0.867,0.286,0.752,1.0,0.0,0.417,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.724,1.0,0.685,0.687,0.826,7,53.3,0.867,0.894,1.0,0,0.0,0.0,0.813,1828.75,0.0,0,0.0,0.786,146.0,0.0,-0.020299999999999985,0.0,-0.1427,-0.015900000000000025,0.0,0.0885,0,4,0,0.04499999999999993,-2,0.5,-232.5,0.027000000000000024,0.687,0,6.599999999999994,-0.09999999999999998,0.894,0.5,0,0.5,0.0,0.0,0.03299999999999992,-58.0,328.75,0.0,0,0.0,0.28600000000000003,90,4,2
Brazil,Uruguay,0.089,3.2924964872664475,0.808,1.887,-0.08620095165850628,-0.08700000000000008,890.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.842,1.0,0.5,0.5,0.0,0.0,3,0.333,2,0.0,0.0,0.7259,0.8405,0.3833,0.9778,0.4614,0.0577,0.589,0.5,0.594,0.0,0.913,2,46.7,1.0,0.0,0.5,0,0.0,0.0,0.957,1500.0,0.0,0,0.0,0.5,0.7142857142857143,0.2857142857142857,0.679,0,0,1.3107016755072605,-0.06,0.08699999999999997,0.0,0.333,208,38.879547221433896,0.5750000000000001,-0.786,25,0.22399999999999998,2.0,0.30000000000000004,1.200471285591168,7,0.0,0.463,2,2.9308447995882414,0.5,0,0.089,3.2924964872664475,0.808,1.887,0.0,0.7142857142857143,0.2857142857142857,1.3107016755072605,0.44,0.587,1.0,38.879547221433896,1.417,0.214,0.724,0.8,0.0,0.463,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.719,1.0,0.718,0.713,0.826,7,53.3,1.0,0.834,0.962,0,0.0,0.0,0.813,1753.8,0.0,0,0.0,0.697,-100.0,0.0,-0.04149999999999998,0.15949999999999998,-0.06159999999999999,-0.0031999999999999806,0.5386,0.0654,0,7,3,0.13,0,0.5,990.0999999999999,0.124,0.713,5,6.599999999999994,0.0,0.834,0.46199999999999997,0,0.5,0.0,0.0,-0.14400000000000002,742.54,253.79999999999995,0.0,0,0.0,0.19699999999999995,90,7,2
Netherlands,Sweden,-0.192,-2.0,-0.694,-0.692,0.0,0.04399999999999993,403.1600000000002,0.0,0.192,2.0,0.694,0.692,0.0,1.0,0.0,5.0,0.0,0.0,1.0,-3.0343786257457657,0.686,1.0,1.0,1.0,0.0,0.25,3,0.333,2,0.0,0.0,0.5369,0.9304,0.5667,0.9844,0.7194,0.0577,0.487,0.0,0.52,0.55,0.913,4,36.8,1.0,0.85,0.0,0,0.0,0.0,0.957,2038.0,0.0,0,0.0,0.775,-1.0,0.0,0.521,0,0,-5.0,0.5,0.5,0.0,0.333,219,3.0343786257457657,1.887,0.0,28,-0.5,1.0,-0.5,-5.0,6,0.0,-0.25,2,-2.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,2.573,1.0,0.5,0.5,0.0,0.0,1,0.333,1,0.0,0.0,0.5837,1.0,0.4972,0.9877,1.0,0.0462,0.697,0.5,0.692,0.0,0.957,7,63.2,0.933,0.0,0.5,0,0.0,0.0,0.978,1500.0,0.0,0,0.0,0.5,0.0,0.0,0.04679999999999995,0.0696,-0.0695,0.0032999999999999696,0.28059999999999996,-0.011500000000000003,0,-1,0,0.20999999999999996,0,0.5,403.1600000000002,0.17199999999999993,-0.55,3,26.400000000000006,-0.06699999999999995,-0.85,0.5,0,0.5,0.0,0.0,0.02100000000000002,347.29,-538.0,0.0,0,0.0,-0.275,90,-1,1
Netherlands,Argentina,0.204,0.0,0.393,2.0,0.0,-0.04300000000000004,-63.4399999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.132,1.0,0.5,0.5,0.0,0.0,1,0.333,0,0.0,0,0.5536,1.0,0.3083,0.9917,1.0,0.0231,0.6,0.5,0.594,0.0,1.0,9,43.6,1.0,0.0,0.5,0,0.0,0.0,1.0,1500.0,0.0,0,0.0,0.5,0.0,1.0,0.689,0,0,0.0,0.31799999999999995,0.5,0.0,0.333,-157,-5.582812416389391,2.335,-0.5,-7,-0.36,0.0,0.5,0.0,-1,0.0,0.65,0,0.0,0.5,0,0.204,0.0,0.393,2.0,0.0,0.0,1.0,0.0,0.818,1.0,1.0,-5.582812416389391,2.467,0.5,0.14,1.0,0.0,0.65,1,0.333,1,0.0,0.0,0.5837,1.0,0.4972,0.9877,1.0,0.0462,0.739,0.5,0.706,0.693,0.957,7,56.4,1.0,0.79,0.542,0,0.0,0.0,0.978,1739.0,0.0,0,0.0,0.775,0.0,0.0,0.030100000000000016,0.0,0.18889999999999996,-0.0040000000000000036,0.0,0.0231,0,1,0,0.139,0,0.0,-63.4399999999996,0.11199999999999999,0.693,-2,12.799999999999997,0.0,0.79,0.04200000000000004,0,0.5,0.0,0.0,-0.02200000000000002,-45.059999999999945,239.0,0.0,0,0.0,0.275,90,1,2
Netherlands,Brazil,0.07300000000000001,-1.2860265589998678,-0.17000000000000004,-0.15300000000000002,0.08620095165850628,0.131,-420.0999999999997,0.0,0.055,3.3781953450583533,0.798,1.858,0.0,0.7777777777777778,0.2222222222222222,1.2019913760444978,0.374,0.48,1.0,48.42942631923849,0.963,1.0,0.847,0.8,0.0,0.41,1,0.333,4,0.0,100.0,0.6844,1.0,0.3217,0.9746,1.0,0.1231,0.655,1.0,0.63,0.721,0.826,7,53.8,0.833,0.788,0.943,0,0.0,0.0,0.813,1801.4,0.0,0,0.0,0.804,-0.7777777777777778,0.7777777777777778,0.507,0,0,-1.2019913760444978,0.485,0.52,0.0,0.333,-80,-38.52484041969504,-0.20899999999999996,-0.786,-5,-0.19599999999999995,-0.5386149983554755,0.19999999999999996,-1.2207514959349464,0,0.0,0.24000000000000005,0,-1.102033858124717,0.5,0,0.128,2.0921687860584854,0.628,1.705,0.0,0.0,1.0,0.0,0.859,1.0,1.0,9.904585899543452,0.754,0.214,0.651,1.0,0.0,0.65,1,0.333,1,0.0,0.0,0.5837,1.0,0.4972,0.9877,1.0,0.0462,0.648,0.875,0.644,0.734,0.957,7,46.2,1.0,0.855,0.889,0,0.0,0.0,0.978,1780.6666666666667,0.0,0,0.0,0.963,100.0,0.0,-0.10070000000000001,0.0,0.1755,0.0131,0.0,-0.0769,0,-6,0,-0.007000000000000006,0,-0.125,-520.0999999999997,0.014000000000000012,0.013000000000000012,0,-7.599999999999994,0.16700000000000004,0.06699999999999995,-0.05399999999999994,0,0.5,0.0,0.0,0.16500000000000004,-345.90999999999997,-20.73333333333335,0.0,0,0.0,0.15899999999999992,90,-6,2
Netherlands,Germany,-0.0059999999999999915,2.06371420312246,0.329,-0.4770000000000001,0.10654307669769736,0.04399999999999993,-30.889999999999645,0.0,0.12,0.0,0.286,2.0,0.0,0.0,0.0,1.0,0.339,0.467,1.0,-18.36336350489696,1.41,1.0,0.107,1.0,0.0,0.383,1,0.333,2,0.0,80.0,0.7408,1.0,0.3347,0.9877,1.0,0.0462,0.578,0.0,0.59,0.71,0.913,6,45.0,0.733,0.792,0.248,0,0.0,0.0,0.849,1488.0,0.0,0,0.0,0.775,0.0,1.0,0.566,0,0,-1.0,0.5009999999999999,0.5329999999999999,0.0,0.333,50,40.530685807503275,0.619,-0.714,4,0.651,2.6386856562472927,0.0,-1.0,0,0.0,0.267,0,2.079995992269681,0.5,0,0.114,2.06371420312246,0.615,1.523,0.0,0.0,1.0,0.0,0.84,1.0,1.0,22.167322302606312,2.029,0.286,0.758,1.0,0.0,0.65,1,0.333,1,0.0,0.0,0.5837,1.0,0.4972,0.9877,1.0,0.0462,0.68,0.935,0.68,0.713,0.957,7,55.0,0.967,0.854,0.888,0,0.0,0.0,0.978,1845.0,0.0,0,0.0,0.975,80.0,0.0,-0.15710000000000002,0.0,0.16249999999999998,0.0,0.0,0.0,0,3,4,0.10200000000000009,0,0.935,-110.88999999999965,0.09000000000000008,0.0030000000000000027,1,10.0,0.23399999999999999,0.061999999999999944,0.64,0,0.5,0.0,0.0,0.129,-52.819999999999936,357.0,0.0,0,0.0,0.19999999999999996,90,3,0
Argentina,England,0.048,0.0,-0.13100000000000003,-1.603,0.08823962682914166,0.0,-505.35000000000014,0.0,0.06,0.0,0.28,1.819,0.0,0.0,0.0,1.0,0.363,0.467,1.0,-10.51761861782338,0.885,1.0,0.143,1.0,0.0,0.383,1,0.333,3,0.0,246.0,0.7047,1.0,0.4644,0.9905,1.0,0.0346,0.563,0.0,0.599,0.681,0.87,7,48.3,1.0,0.8,0.243,0,0.0,0.0,0.78,2038.0,0.0,0,0.0,0.775,0.0,0.0,0.342,0,0,3.0,-0.359,-0.467,0.0,0.333,59,-3.7168318690317257,0.73,0.0,1,0.05700000000000002,0.0,0.0,3.0,3,0.0,-0.133,0,0.0,0.5,0,0.108,0.0,0.149,0.216,0.0,0.0,0.0,4.0,0.004,0.0,1.0,-14.234450486855106,1.615,1.0,0.2,1.0,0.0,0.25,1,0.333,3,0.0,62.19,0.5536,1.0,0.3083,0.9917,1.0,0.0231,0.622,0.0,0.651,0.592,0.87,9,51.7,0.5,0.828,0.0,0,0.0,0.0,0.818,1958.0,0.0,0,0.0,0.775,183.81,0.0,-0.1511,0.0,-0.15609999999999996,0.0011999999999999789,0.0,-0.0115,0,0,2,0.05900000000000005,-2,0.0,-689.1600000000001,0.052000000000000046,-0.08900000000000008,2,3.4000000000000057,-0.5,0.027999999999999914,-0.243,0,0.5,0.0,0.0,0.03799999999999992,-371.78,-80.0,0.0,0,0.0,0.0,90,0,2
